Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
Kepler-1883 b,Kepler-1883,b,1,1,0,0,Transit,Published Confirmed,103.427002,3.251,,,,,,,,,,,,,,,,,,6208.0,1.02,1.09,-0.12,[Fe/H],,4.45,,7.4497,,,,1377.61,0.698286,16.513,15.642,14.405,14.085,14.097,,,,,,13.937,14.194,12.428,9.329001,15.5406
Kepler-1883 b,Kepler-1883,b,1,1,0,0,Transit,Published Confirmed,103.42742336,,,,,,,,,,,BJD,,,,,,,,5667.0,1.02,1.01,,,-0.016,4.43,,1.346,,,,1377.61,0.698286,16.513,15.642,14.405,14.085,14.097,,,,,,13.937,14.194,12.428,9.329001,15.5406
Kepler-1884 b,Kepler-1884,b,1,1,0,0,Transit,Published Confirmed,8.98832035,1.814,,,,,,,,,,,,,,,,,,5984.0,0.91,0.99,-0.2,[Fe/H],,4.52,,0.05,,,,1443.09,0.66501,16.03,15.433,14.011,13.691,13.611,,,,,,13.345,13.395,13.04,9.561,15.2294
Kepler-1885 b,Kepler-1885,b,1,1,0,0,Transit,Published Confirmed,2.52255988,1.511,,,,,,,,,,,,,,,,,,5591.0,0.86,0.98,0.07,[Fe/H],,4.56,,0.0693,,,,818.482,1.19317,15.796,14.851,13.526,13.191,13.109,,,,,,13.086,13.176,12.53,9.421,14.7999
Kepler-1886 b,Kepler-1886,b,1,1,0,0,Transit,Published Confirmed,24.2758007,2.582,,,,,,,,,,,,,,,,,,5745.0,0.84,0.93,-0.2,[Fe/H],,4.56,,1.6769,,,,1059.51,0.916692,15.111,15.627,14.229,13.868,13.705,,,,,,,,,,15.4559
Kepler-1886 b,Kepler-1886,b,1,1,0,0,Transit,Published Confirmed,24.27662569,,,,,,,,,,,BJD,,,,,,,,5581.0,0.89,0.99,,,-0.161,4.54,,1.989,,,,1059.51,0.916692,15.111,15.627,14.229,13.868,13.705,,,,,,,,,,15.4559
Kepler-1887 b,Kepler-1887,b,1,1,0,0,Transit,Published Confirmed,19.94774345,,,,,,,,,,,BJD,,,,,,,,5443.0,0.9,0.95,,,-0.19,4.5,,1.8124,,,,1366.18,0.703869,17.175,15.955,14.8,14.334,14.298,,,,,,14.326,14.382,12.419,9.215,15.9544
Kepler-1887 b,Kepler-1887,b,1,1,0,0,Transit,Published Confirmed,19.94750023,2.925,,,,,,,,,,,,,,,,,,5749.0,0.86,0.96,-0.1,[Fe/H],,4.55,,33.2308,,,,1366.18,0.703869,17.175,15.955,14.8,14.334,14.298,,,,,,14.326,14.382,12.419,9.215,15.9544
Kepler-1888 b,Kepler-1888,b,1,1,0,0,Transit,Published Confirmed,11.39169979,1.326,,,,,,,,,,,,,,,,,,5557.0,1.25,0.9,0.0,[Fe/H],,4.2,,0.1247,,,,402.947,2.4532,13.048,12.099,10.703,10.388,10.322,,,,,,10.254,10.315,10.202,8.552,11.8773
Kepler-1889 b,Kepler-1889,b,1,1,0,0,Transit,Published Confirmed,37.30429277,,,,,,,,,,,BJD,,,,,,,,6036.0,1.18,1.12,,,0.22,4.35,,0.9667,,,,1395.13,0.689873,17.039,15.715,14.197,13.791,13.731,,,,,,13.669,13.8,12.828,9.477,15.5173
