Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
WASP-88 b,WASP-88,b,1,1,0,0,Transit,Published Confirmed,4.954,19.055,181.1631,,,181.1631,Mass,0.141,0.13,,,BJD-TDB,,,,53.3,,,,6430.0,2.08,1.45,-0.08,[Fe/H],,,3.0,,8.4,,,523.756,1.88108,12.021,11.388,10.568,10.386,10.322,,,,,,10.265,10.295,10.133,9.159,11.478
WASP-89 b,WASP-89,b,1,1,0,0,Transit,Published Confirmed,3.3564227,11.657,1843.414,,,1843.414,Mass,6.37,0.1928,,,BJD-TDB,,,27.9,847.0,,,,5000.0,0.88,0.92,0.15,,,,12.5,,2.5,20.2,,290.946,3.40855,14.186,13.21,11.546,11.094,11.004,,,,,,10.966,11.036,11.103,8.759,12.989
WASP-89 b,WASP-89,b,1,1,0,0,Transit,Published Confirmed,3.3564227,11.657,1875.197,,,1875.197,Mass,7.0,0.193,,1120.0,HJD-UTC,,,28.0,848.0,,,K3,5130.0,0.88,0.92,0.15,[Fe/H],,4.51,1.3,1.92,2.5,,21.09,290.946,3.40855,14.186,13.21,11.546,11.094,11.004,,,,,,10.966,11.036,11.103,8.759,12.989
WASP-89 b,WASP-89,b,1,1,0,0,Transit,Published Confirmed,3.3564182,,,,,,,,,,,BJD-TDB,,,,,,,K3,5130.0,0.88,0.92,0.15,[Fe/H],,4.51,1.3,1.92,2.5,,21.09,290.946,3.40855,14.186,13.21,11.546,11.094,11.004,,,,,,10.966,11.036,11.103,8.759,12.989
WASP-90 b,WASP-90,b,1,1,0,0,Transit,Published Confirmed,3.9162624,,,,,,,,,,,BJD-TDB,,,,,,,F6,6430.0,1.98,1.55,0.11,[Fe/H],,4.03,4.4,0.28,6.0,,4.36,466.433,2.11996,12.023,11.618,10.55,10.302,10.248,15.2295,15.1995,13.4283,13.171,13.921,10.184,10.236,10.139,8.223,11.4559
WASP-90 b,WASP-90,b,1,1,0,0,Transit,Published Confirmed,3.916243,18.271,200.2329,,,200.2329,Mass,0.193,0.0,,1840.0,HJD-UTC,,,,60.0,,,F6,6430.0,1.98,1.55,0.11,[Fe/H],,4.03,4.4,0.28,6.0,,4.36,466.433,2.11996,12.023,11.618,10.55,10.302,10.248,15.2295,15.1995,13.4283,13.171,13.921,10.184,10.236,10.139,8.223,11.4559
WASP-91 b,WASP-91,b,1,1,0,0,Transit,Published Confirmed,2.798581,11.545,425.8922,,,425.8922,Mass,1.59,0.0,,1160.0,BJD,,,,217.0,,,K3,4920.0,0.86,0.84,0.19,[Fe/H],,4.3,,1.83,2.4,,2.78,149.942,6.64038,12.734,11.98,10.275,9.838,9.712,,,,,,9.677,9.752,9.667,8.958,11.6236
WASP-91 b,WASP-91,b,1,1,0,0,Transit,Published Confirmed,2.79857949,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,149.942,6.64038,12.734,11.98,10.275,9.838,9.712,,,,,,9.677,9.752,9.667,8.958,11.6236
WASP-91 b,WASP-91,b,1,1,0,0,Transit,Published Confirmed,2.798579,,,,,,,,,,,BJD,0.1207,,,,,,K3,4920.0,0.86,0.84,0.19,[Fe/H],,4.3,,1.83,2.4,,2.78,149.942,6.64038,12.734,11.98,10.275,9.838,9.712,,,,,,9.677,9.752,9.667,8.958,11.6236
WASP-92 b,WASP-92,b,1,1,0,0,Transit,Published Confirmed,2.1746733,,,,,,,,,,,BJD-TDB,,,,,,,F7,6280.0,1.34,1.19,0.0,[Fe/H],,4.26,2.29,0.697,5.73,10.07,-29.17,575.889,1.70764,13.413,12.951,11.834,11.579,11.519,14.7063,13.7703,13.0216,12.9018,12.9808,11.435,11.454,10.119,7.861,12.8183
WASP-92 b,WASP-92,b,1,1,0,0,Transit,Published Confirmed,2.1746742,,,,,,,,,,,BJD,0.1068,,,,,,F7,6280.0,1.34,1.19,0.0,[Fe/H],,4.26,2.29,0.697,5.73,10.07,-29.17,575.889,1.70764,13.413,12.951,11.834,11.579,11.519,14.7063,13.7703,13.0216,12.9018,12.9808,11.435,11.454,10.119,7.861,12.8183
WASP-92 b,WASP-92,b,1,1,0,0,Transit,Published Confirmed,2.1746949,14.071,,,,,,,,,,HJD,0.0963,,,,,,F7,,1.34,1.19,,,,,,,,,,575.889,1.70764,13.413,12.951,11.834,11.579,11.519,14.7063,13.7703,13.0216,12.9018,12.9808,11.435,11.454,10.119,7.861,12.8183
WASP-92 b,WASP-92,b,1,1,0,0,Transit,Published Confirmed,2.17467311,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,575.889,1.70764,13.413,12.951,11.834,11.579,11.519,14.7063,13.7703,13.0216,12.9018,12.9808,11.435,11.454,10.119,7.861,12.8183
WASP-92 b,WASP-92,b,1,1,0,0,Transit,Published Confirmed,2.1746742,16.376,255.85315,,,255.85315,Mass,0.346,0.0,,1871.0,HJD,,,0.0,111.6,,,F7,6280.0,1.34,1.19,0.0,[Fe/H],,4.26,2.29,0.697,5.73,10.07,-29.17,575.889,1.70764,13.413,12.951,11.834,11.579,11.519,14.7063,13.7703,13.0216,12.9018,12.9808,11.435,11.454,10.119,7.861,12.8183
WASP-93 b,WASP-93,b,1,1,0,0,Transit,Published Confirmed,2.7325321,17.901,467.2101,,,467.2101,Mass,0.479,0.0,,1942.0,HJD,,,0.0,174.0,,,F4,6700.0,1.52,1.33,0.07,[Fe/H],,4.2,0.7,0.53,37.0,1.45,-2.79,370.284,2.67335,11.573,10.966,10.233,9.997,9.942,,,,,,9.887,9.9,9.854,9.072,10.978
WASP-93 b,WASP-93,b,1,1,0,0,Transit,Published Confirmed,2.7325321,,,,,,,,,,,BJD,0.1022,,,,,,F4,6700.0,1.52,1.33,0.07,[Fe/H],,4.2,0.7,0.53,37.0,1.45,-2.79,370.284,2.67335,11.573,10.966,10.233,9.997,9.942,,,,,,9.887,9.9,9.854,9.072,10.978
WASP-93 b,WASP-93,b,1,1,0,0,Transit,Published Confirmed,2.7325559,14.472,,,,,,,,,,HJD,0.0873,,,,,,F4,,1.52,1.33,,,,,,,,,,370.284,2.67335,11.573,10.966,10.233,9.997,9.942,,,,,,9.887,9.9,9.854,9.072,10.978
WASP-93 b,WASP-93,b,1,1,0,0,Transit,Published Confirmed,2.7325375,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,370.284,2.67335,11.573,10.966,10.233,9.997,9.942,,,,,,9.887,9.9,9.854,9.072,10.978
WASP-93 b,WASP-93,b,1,1,0,0,Transit,Published Confirmed,2.7325358,,,,,,,,,,,BJD-TDB,,,,,,,F4,6700.0,1.52,1.33,0.07,[Fe/H],,4.2,0.7,0.53,37.0,1.45,-2.79,370.284,2.67335,11.573,10.966,10.233,9.997,9.942,,,,,,9.887,9.9,9.854,9.072,10.978
WASP-94 A b,WASP-94 A,b,2,2,0,0,Transit,Published Confirmed,3.9501907,19.28,143.653,,,143.653,Mass,0.118,0.13,,1604.0,HJD,,,,45.4,151.0,,F8,6153.0,1.62,1.45,0.26,[Fe/H],,4.18,4.0,0.485,4.2,,-8.82,211.211,4.70676,10.742,10.051,9.159,8.916,8.874,,,,,,8.801,8.837,8.770001,8.872,10.0285
WASP-94 A b,WASP-94 A,b,2,2,0,0,Transit,Published Confirmed,3.95020049,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,211.211,4.70676,10.742,10.051,9.159,8.916,8.874,,,,,,8.801,8.837,8.770001,8.872,10.0285
WASP-94 A b,WASP-94 A,b,2,2,0,0,Transit,Published Confirmed,3.95019,17.71,158.915,,,158.915,Mass,,0.0,,,,,,,45.4,,,,6170.0,1.48,1.67,0.26,[Fe/H],,4.27,,0.73,,,,211.211,4.70676,10.742,10.051,9.159,8.916,8.874,,,,,,8.801,8.837,8.770001,8.872,10.0285
WASP-94 A b,WASP-94 A,b,2,2,0,0,Transit,Published Confirmed,3.9501907,19.279,144.93048,,,144.93048,Mass,0.114,0.064,,,BJD-TDB,,,,45.9,,,,6153.0,1.62,1.45,0.26,,,,2.7,,4.2,,,211.211,4.70676,10.742,10.051,9.159,8.916,8.874,,,,,,8.801,8.837,8.770001,8.872,10.0285
WASP-94 B b,WASP-94 B,b,2,2,0,0,Radial Velocity,Published Confirmed,2.00839,,,196.411,,196.411,Msini,,0.0,,,,,2456574.359,,86.48,,,F9,6040.0,1.35,1.24,0.23,[Fe/H],,4.26,4.0,,1.5,,-8.74,208.696,4.76348,,10.589,9.498,9.266,9.188,,,,,,9.116,9.168,9.062,8.458,10.4055
WASP-95 b,WASP-95,b,1,1,0,0,Transit,Published Confirmed,2.1846688,,,,,,,,,,,BJD-TDB,,,,,,,G2,5630.0,1.13,1.11,0.14,[Fe/H],,4.38,2.4,1.1,3.1,,6.28,137.544,7.24182,10.78,10.092,8.936,8.628,8.564,,,,,,8.513,8.569,8.517,8.754,9.93697
WASP-95 b,WASP-95,b,1,1,0,0,Transit,Published Confirmed,2.184673,13.563,382.66732,,,382.66732,Mass,0.84,0.018,,,BJD-TDB,,,,175.5,,,,5830.0,1.13,1.11,0.14,,,,5.0,,3.1,,,137.544,7.24182,10.78,10.092,8.936,8.628,8.564,,,,,,8.513,8.569,8.517,8.754,9.93697
WASP-95 b,WASP-95,b,1,1,0,0,Transit,Published Confirmed,2.18467,13.787,457.6752,,,457.6752,Mass,,0.0,,,,,,,175.7,,,,5830.0,1.23,1.46,0.14,[Fe/H],,4.36,,1.09,,,,137.544,7.24182,10.78,10.092,8.936,8.628,8.564,,,,,,8.513,8.569,8.517,8.754,9.93697
WASP-95 b,WASP-95,b,1,1,0,0,Transit,Published Confirmed,2.184673,13.56,359.13,,,359.13,Mass,1.13,0.0,,1570.0,HJD-UTC,,,,175.7,,,G2,5630.0,1.13,1.11,0.14,[Fe/H],,4.38,2.4,1.1,3.1,,6.28,137.544,7.24182,10.78,10.092,8.936,8.628,8.564,,,,,,8.513,8.569,8.517,8.754,9.93697
WASP-95 b,WASP-95,b,1,1,0,0,Transit,Published Confirmed,2.18466629,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,137.544,7.24182,10.78,10.092,8.936,8.628,8.564,,,,,,8.513,8.569,8.517,8.754,9.93697
WASP-95 b,WASP-95,b,1,1,0,0,Transit,Published Confirmed,2.1846665,,,,,,,,,,,BJD,0.1025,,,,,,,5830.0,1.23,1.46,0.14,[Fe/H],,4.36,,1.09,,,,137.544,7.24182,10.78,10.092,8.936,8.628,8.564,,,,,,8.513,8.569,8.517,8.754,9.93697
WASP-96 b,WASP-96,b,1,1,0,0,Transit,Published Confirmed,3.4252602,13.45,152.55,,,152.55,Mass,0.37,0.0,,1285.0,HJD-UTC,,,,62.0,,,G8,5540.0,1.05,1.06,0.14,[Fe/H],,4.42,8.0,1.299,1.5,,-1.23,352.464,2.80882,13.261,12.569,11.267,10.936,10.914,,,,,,10.844,10.903,11.013,9.078,12.3833
WASP-96 b,WASP-96,b,1,1,0,0,Transit,Published Confirmed,3.4252565,,,,,,,,,,,BJD-TDB,,,,,,,G8,5540.0,1.05,1.06,0.14,[Fe/H],,4.42,8.0,1.299,1.5,,-1.23,352.464,2.80882,13.261,12.569,11.267,10.936,10.914,,,,,,10.844,10.903,11.013,9.078,12.3833
WASP-96 b,WASP-96,b,1,1,0,0,Transit,Published Confirmed,3.4252602,13.451,155.7367,,,155.7367,Mass,0.352,0.11,,,BJD-TDB,,,,64.0,,,,5500.0,1.05,1.06,0.14,,,,9.4,,1.5,,,352.464,2.80882,13.261,12.569,11.267,10.936,10.914,,,,,,10.844,10.903,11.013,9.078,12.3833
WASP-96 b,WASP-96,b,1,1,0,0,Transit,Published Confirmed,3.4252563,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,352.464,2.80882,13.261,12.569,11.267,10.936,10.914,,,,,,10.844,10.903,11.013,9.078,12.3833
WASP-96 b,WASP-96,b,1,1,0,0,Transit,Published Confirmed,3.4252577,,,,,,,,,,,BJD,0.1186,,,,,,G8,5540.0,1.05,1.06,0.14,[Fe/H],,4.42,8.0,1.299,1.5,,-1.23,352.464,2.80882,13.261,12.569,11.267,10.936,10.914,,,,,,10.844,10.903,11.013,9.078,12.3833
WASP-97 b,WASP-97,b,1,1,0,0,Transit,Published Confirmed,2.07275975,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,151.068,6.59064,11.312,10.57,9.407,9.07,9.03,,,,,,8.955,9.006,8.939,8.504,10.4238
WASP-97 b,WASP-97,b,1,1,0,0,Transit,Published Confirmed,2.07276,12.778,432.2488,,,432.2488,Mass,,0.0,,,,,,,194.5,,,,5640.0,1.08,1.18,0.23,[Fe/H],,4.45,,1.34,,,,151.068,6.59064,11.312,10.57,9.407,9.07,9.03,,,,,,8.955,9.006,8.939,8.504,10.4238
WASP-97 b,WASP-97,b,1,1,0,0,Transit,Published Confirmed,2.07276,,,,,,,,,,,BJD-TDB,,,,,,,G5,5640.0,1.06,1.12,0.23,[Fe/H],,4.43,11.9,1.31,1.1,,6.81,151.068,6.59064,11.312,10.57,9.407,9.07,9.03,,,,,,8.955,9.006,8.939,8.504,10.4238
WASP-97 b,WASP-97,b,1,1,0,0,Transit,Published Confirmed,2.07276,12.666,420.48909,,,420.48909,Mass,1.13,0.019,,,BJD-TDB,,,,195.5,,,,5670.0,1.06,1.12,0.23,,,,4.8,,1.1,,,151.068,6.59064,11.312,10.57,9.407,9.07,9.03,,,,,,8.955,9.006,8.939,8.504,10.4238
WASP-97 b,WASP-97,b,1,1,0,0,Transit,Published Confirmed,2.0727598,,,,,,,,,,,BJD,0.1093,,,,,,,5640.0,1.08,1.18,0.23,[Fe/H],,4.45,,1.34,,,,151.068,6.59064,11.312,10.57,9.407,9.07,9.03,,,,,,8.955,9.006,8.939,8.504,10.4238
WASP-97 b,WASP-97,b,1,1,0,0,Transit,Published Confirmed,2.07276,12.67,419.52,,,419.52,Mass,1.21,0.0,,1555.0,HJD-UTC,,,,194.5,,,G5,5640.0,1.06,1.12,0.23,[Fe/H],,4.43,11.9,1.31,1.1,,6.81,151.068,6.59064,11.312,10.57,9.407,9.07,9.03,,,,,,8.955,9.006,8.939,8.504,10.4238
WASP-98 b,WASP-98,b,2,1,0,0,Transit,Published Confirmed,2.96264,12.33,263.79,,,263.79,Mass,0.84,0.0,,1180.0,HJD-UTC,,,,150.0,,,G7,5525.0,0.7,0.69,-0.6,[Fe/H],,4.58,8.0,2.8,0.5,,-38.29,281.742,3.52049,13.746,13.252,11.691,11.295,11.284,,,,,,11.229,11.258,11.234,8.789,12.8678
WASP-98 b,WASP-98,b,2,1,0,0,Transit,Published Confirmed,2.96264133,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,281.742,3.52049,13.746,13.252,11.691,11.295,11.284,,,,,,11.229,11.258,11.234,8.789,12.8678
WASP-98 b,WASP-98,b,2,1,0,0,Transit,Published Confirmed,2.96264,12.33,269.51984,,,269.51984,Mass,0.79,0.07,,,BJD-TDB,,,,154.0,,,,5550.0,0.7,0.69,-0.6,[Fe/H],,,10.5,,0.5,,,281.742,3.52049,13.746,13.252,11.691,11.295,11.284,,,,,,11.229,11.258,11.234,8.789,12.8678
WASP-98 b,WASP-98,b,2,1,0,0,Transit,Published Confirmed,2.9626415,,,,,,,,,,,BJD-TDB,,,,,,,G7,5525.0,0.7,0.69,-0.6,[Fe/H],,4.58,8.0,2.8,0.5,,-38.29,281.742,3.52049,13.746,13.252,11.691,11.295,11.284,,,,,,11.229,11.258,11.234,8.789,12.8678
WASP-98 b,WASP-98,b,2,1,0,0,Transit,Published Confirmed,2.96264036,12.823,293.03926,,,293.03926,Mass,0.764,,,1171.0,BJD-TDB,0.15824,,,,,,,5473.0,0.74,0.81,-0.49,[Fe/H],,4.61,2.7,2.801,0.99,,,281.742,3.52049,13.746,13.252,11.691,11.295,11.284,,,,,,11.229,11.258,11.234,8.789,12.8678
WASP-99 b,WASP-99,b,1,1,0,0,Transit,Published Confirmed,5.7525835,,,,,,,,,,,BJD,0.0678,,,,,,,6150.0,1.64,1.21,0.21,[Fe/H],,4.3,,0.39,,,,158.66,6.27403,10.085,9.475,8.436,8.129,8.088,,,,,,8.06,8.108,8.065,8.031,9.3251
WASP-99 b,WASP-99,b,1,1,0,0,Transit,Published Confirmed,5.75251,12.33,883.53,,,883.53,Mass,2.79,0.0,,1480.0,HJD-UTC,,,,242.2,,,F8,6180.0,1.76,1.48,0.21,[Fe/H],,4.12,1.4,0.38,6.8,,24.96,158.66,6.27403,10.085,9.475,8.436,8.129,8.088,,,,,,8.06,8.108,8.065,8.031,9.3251
WASP-99 b,WASP-99,b,1,1,0,0,Transit,Published Confirmed,5.75251,11.433,772.3269,,,772.3269,Mass,,0.0,,,,,,,242.2,,,,6150.0,1.64,1.21,0.21,[Fe/H],,4.3,,0.39,,,,158.66,6.27403,10.085,9.475,8.436,8.129,8.088,,,,,,8.06,8.108,8.065,8.031,9.3251
WASP-99 b,WASP-99,b,1,1,0,0,Transit,Published Confirmed,5.7525907,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,158.66,6.27403,10.085,9.475,8.436,8.129,8.088,,,,,,8.06,8.108,8.065,8.031,9.3251
WASP-99 b,WASP-99,b,1,1,0,0,Transit,Published Confirmed,5.75251,12.33,889.924,,,889.924,Mass,2.63,0.01,,,BJD-TDB,,,,244.5,,,,6150.0,1.76,1.48,0.21,,,,3.0,,6.8,,,158.66,6.27403,10.085,9.475,8.436,8.129,8.088,,,,,,8.06,8.108,8.065,8.031,9.3251
WD 0806-661 b,WD 0806-661,b,1,1,0,0,Imaging,Published Confirmed,,,2542.62726,,,2542.62726,Mass,,,,340.0,,,,,,,,DQ,,,0.62,,,,,2.1,,,,,19.2444,51.9342,13.779,13.855,13.704,13.739,13.781,,,,,,,,,,13.6826
WD 0806-661 b,WD 0806-661,b,1,1,0,0,Imaging,Published Confirmed,,,2383.6,,,2383.6,Mass,,,,323.0,,,,,,,,,,,,,,,,,,,,,19.2444,51.9342,13.779,13.855,13.704,13.739,13.781,,,,,,,,,,13.6826
WD 1856+534 b,WD 1856+534,b,3,1,0,0,Transit,Published Confirmed,1.4079405,10.4,4386.054,,,4386.054,Mass,,0.0,0.18,163.0,BJD-TDB,7.28,,,,,,,4710.0,0.01,0.52,,,,7.92,7.93,,,,,24.7359,40.3983,,17.244,15.677,15.429,15.548,,,,,,15.011,15.156,13.404,9.639,16.958
WISE J033605.05-014350.4 b,WISE J033605.05-014350.4,b,1,1,0,0,Imaging,Published Confirmed,2560.0,,2622.08436,,,2622.08436,Mass,,,,325.0,,,,,,,,,415.0,,0.01,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,b,1,1,0,0,Imaging,Published Confirmed,,10.468,6992.0,,,6992.0,Mass,,,,450.0,,,,,,,,T8.5,575.0,0.09,0.03,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,
WTS-1 b,WTS-1,b,1,1,0,0,Transit,Published Confirmed,3.352057,16.7,1274.44,,,1274.44,Mass,1.61,0.1,,1500.0,HJD,0.1328,,,,,,F6 V,6250.0,1.15,1.2,-0.5,[Fe/H],,4.4,2.55,1.1129,7.0,,,2346.01,0.403034,16.797,16.644,15.375,15.187,15.271,,,,,,15.012,15.751,12.975,9.277,16.4299
WTS-2 b,WTS-2,b,1,1,0,0,Transit,Published Confirmed,1.0187068,15.278,403.6441,,,403.6441,Mass,0.62,0.35,,,BJD-TDB,,,293.0,302.0,,,,5000.0,0.75,0.82,0.2,,,,7.0,,2.2,,,,,17.094,15.954,13.928,13.464,13.414,,,,,,13.299,13.367,12.107,9.176,15.5965
WTS-2 b,WTS-2,b,1,1,0,0,Transit,Published Confirmed,1.0187068,15.278,355.9696,,,355.9696,Mass,0.54,0.0,,2000.0,HJD,0.1863,,,256.0,,,K2 V,5000.0,0.75,0.82,0.2,[Fe/H],,4.6,0.6,2.72,2.2,,-20.03,,,17.094,15.954,13.928,13.464,13.414,,,,,,13.299,13.367,12.107,9.176,15.5965
Wendelstein-1 b,Wendelstein-1,b,1,1,0,0,Transit,Published Confirmed,2.663416,11.561,188.15536,,,188.15536,Mass,0.72,0.012,,2198.0,BJD-TDB,0.1698,,,115.56,,,K7 V,4251.0,0.61,0.65,,,,,,,,,,305.3,3.24702,17.157,15.564,12.971,12.331,12.198,,,,,,12.099,12.134,12.066,8.919,15.0324
Wendelstein-2 b,Wendelstein-2,b,1,1,0,0,Transit,Published Confirmed,1.7522239,12.993,232.33373,,,232.33373,Mass,0.62,0.057,,2470.0,BJD-TDB,0.176,,,155.584,,,K6 V,4591.0,0.66,0.73,,,,,,,,,,565.541,1.74094,18.259,16.186,14.062,13.437,13.332,,,,,,13.166,13.309,12.716,9.012,15.9359
Wolf 1061 b,Wolf 1061,b,1,3,0,0,Radial Velocity,Published Confirmed,4.8869,,,1.91,,1.91,Msini,,0.15,7.34,,,,,,1.67,,,M3.5,3342.0,0.31,0.29,-0.09,[Fe/H],-1.991,,,,,95.0,-21.04,4.30592,232.21,11.86,10.1,5.95,5.373,5.075,,,,,,,,,,8.79444
Wolf 1061 b,Wolf 1061,b,1,3,0,0,Radial Velocity,Published Confirmed,4.8876,,,1.36,,1.36,Msini,,0.0,,,,,,,1.29,,,M3/3.5 V,3393.0,,0.25,,,-2.104,,,,,,,4.30592,232.21,11.86,10.1,5.95,5.373,5.075,,,,,,,,,,8.79444
Wolf 1061 c,Wolf 1061,c,1,3,0,0,Radial Velocity,Published Confirmed,17.8719,,,3.41,,3.41,Msini,,0.11,1.3,,,,,,1.92,,,M3.5,3342.0,0.31,0.29,-0.09,[Fe/H],-1.991,,,,,95.0,-21.04,4.30592,232.21,11.86,10.1,5.95,5.373,5.075,,,,,,,,,,8.79444
Wolf 1061 c,Wolf 1061,c,1,3,0,0,Radial Velocity,Published Confirmed,17.867,,,4.25,,4.25,Msini,,0.19,,,,,,37.0,2.7,,,M3/3.5 V,3393.0,,0.25,,,-2.104,,,,,,,4.30592,232.21,11.86,10.1,5.95,5.373,5.075,,,,,,,,,,8.79444
Wolf 1061 d,Wolf 1061,d,1,3,0,0,Radial Velocity,Published Confirmed,217.21,,,7.7,,7.7,Msini,,0.55,0.06,,,,,,2.23,,,M3.5,3342.0,0.31,0.29,-0.09,[Fe/H],-1.991,,,,,95.0,-21.04,4.30592,232.21,11.86,10.1,5.95,5.373,5.075,,,,,,,,,,8.79444
Wolf 1061 d,Wolf 1061,d,1,3,0,0,Radial Velocity,Published Confirmed,67.27,,,5.21,,5.21,Msini,,0.32,,,,,,102.0,2.24,,,M3/3.5 V,3393.0,,0.25,,,-2.104,,,,,,,4.30592,232.21,11.86,10.1,5.95,5.373,5.075,,,,,,,,,,8.79444
Wolf 1069 b,Wolf 1069,b,1,1,0,0,Radial Velocity,Published Confirmed,15.564,,,1.26,,1.26,Msini,,,0.65,250.0,BJD,,2458511.63,,1.07,,,M5.0 V,3158.0,0.18,0.17,0.07,[Fe/H],-2.531,4.93,,,2.0,160.0,-60.05,9.58341,104.318,15.817,13.993,9.029,8.483,8.095,17.343,15.4884,15.4133,15.0546,12.8384,,,,,12.3653
Wolf 327 b,Wolf 327,b,1,1,0,0,Transit,Published Confirmed,0.5734745,1.24,2.53,,,2.53,Mass,7.24,0.0,233.9,996.0,BJD,0.028,,,3.54,,,M2.5 V,3542.0,0.41,0.41,-0.17,[Fe/H],-1.63,4.87,4.1,8.54,2.0,44.4,9.39,28.5321,35.0195,14.586,13.018,9.308,8.682,8.435,16.6342,15.6776,14.839,14.9466,11.0601,8.32,8.211,8.104,7.838,11.9522
Wolf 503 b,Wolf 503,b,1,1,0,0,Transit,Published Confirmed,6.00127,2.043,6.27,,,6.27,Mass,4.03,0.409,64.7,789.0,BJD-TDB,,,,3.11,,,,4716.0,0.69,0.69,-0.47,[Fe/H],,,11.0,,,,,44.526,22.43,11.276,10.27,8.324,7.774,7.617,,,,,,,,,,9.89816
Wolf 503 b,Wolf 503,b,1,1,0,0,Transit,Published Confirmed,6.00118,2.03,,,,,,,,69.6,805.0,BJD-TDB,0.02694,,,,,,K3.5 V,4716.0,0.69,0.69,-0.47,[Fe/H],-0.644,4.62,11.0,,,,-46.83,44.526,22.43,11.276,10.27,8.324,7.774,7.617,,,,,,,,,,9.89816
Wolf 503 b,Wolf 503,b,1,1,0,0,Transit,Published Confirmed,6.00127,2.043,6.26,,,6.26,Mass,2.92,0.41,,790.0,BJD-TDB,0.02791,,112.0,2.98,,,K3.5 V,4716.0,0.69,0.69,-0.47,[Fe/H],-0.676,4.62,11.0,2.17,,,,44.526,22.43,11.276,10.27,8.324,7.774,7.617,,,,,,,,,,9.89816
XO-1 b,XO-1,b,1,1,0,0,Transit,Published Confirmed,3.941534,13.518,291.76794,,,291.76794,Mass,0.65,,,1196.0,,0.1326,,,116.0,,,,,,,,,-0.066,,,,,,,163.553,6.08537,11.878,11.251,9.939,9.601,9.527,14.8365,11.7844,11.0495,10.8685,11.3144,9.495,9.518,9.507,9.248,11.004
XO-1 b,XO-1,b,1,1,0,0,Transit,Published Confirmed,3.941505,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,-0.066,,,,,,,163.553,6.08537,11.878,11.251,9.939,9.601,9.527,14.8365,11.7844,11.0495,10.8685,11.3144,9.495,9.518,9.507,9.248,11.004
XO-1 b,XO-1,b,1,1,0,0,Transit,Published Confirmed,3.941501,,,,,,,,,,,HJD,,,,,,,,5729.0,0.92,1.02,-0.08,[M/H],-0.086,4.52,,1.8577,,,,163.553,6.08537,11.878,11.251,9.939,9.601,9.527,14.8365,11.7844,11.0495,10.8685,11.3144,9.495,9.518,9.507,9.248,11.004
XO-1 b,XO-1,b,1,1,0,0,Transit,Published Confirmed,3.94150465,,,,,,,,,,,BJD-TDB,,,,,,,,,,,,,,,,,,,,163.553,6.08537,11.878,11.251,9.939,9.601,9.527,14.8365,11.7844,11.0495,10.8685,11.3144,9.495,9.518,9.507,9.248,11.004
XO-1 b,XO-1,b,1,1,0,0,Transit,Published Confirmed,,13.271,286.047,,,286.047,Mass,0.67,,,1100.0,HJD,0.13102,,,,,,,,0.93,1.0,,,,,,,,,,163.553,6.08537,11.878,11.251,9.939,9.601,9.527,14.8365,11.7844,11.0495,10.8685,11.3144,9.495,9.518,9.507,9.248,11.004
